,20.0-,1.0-,3.0-,15.0-,30.0-,25.0-T-H,0.0-T-H-I-B,3.0-T-H,7.000000000000001-T-H-I-B,0.0-,25.0-,1.0-T-H,7.000000000000001-,30.0-T-H,1.0-T-H-I-B,5.0-T-H,10.0-T-H,20.0-T-H-I-B,0.0-T-H,10.0-,10.0-T-H-I-B,25.0-T-H-I-B,3.0-T-H-I-B,15.0-T-H-I-B,5.0-,15.0-T-H,7.000000000000001-T-H,30.0-T-H-I-B,5.0-T-H-I-B,20.0-T-H
AL,3.8790772399921076,4.937863100492137,5.340691626614056,3.180511236611002,3.8185069868677664,52.131876481273004,100.95762637029968,43.29258563099972,53.86388845653966,5580.238231381869,3.439415496138756,79.78741953052125,3.690499614497704,43.627940971395475,48.72865125472286,47.51748176984227,3.3316637752711435,4.840577210859821,183.57905476475423,3.353099444841167,7.311229707822486,5.315474913589883,7.086676016247715,4.125667820441493,4.533553452754379,3.7110672641802784,57.350198350516706,6.571269576649804,41.48800881447526,4.945342128760268
AT,5.121842041510306,361563.4147267029,121.93384001749044,4.082984983714374,4.673242246941658,59.47127557723018,126.83132334768182,60.37302946170404,81.62220403300238,1311443.9896115332,4.245698550632886,131.4311407569386,6.29321171834407,52.560859999645324,62.970229597946705,61.063390945986924,4.073159697439092,5.809756442933885,338.7176623600075,4.7281582667740425,11.579874457325882,6.010809269720876,9.528082642006074,6.040466881005745,9.415177184700202,4.378292594275464,72.42863395877289,7.386895203207509,54.220982043319026,5.880427503296275
BA,3.8394247810329514,3.8891245517428437,4.373272135122965,3.1567021903022257,3.762358375159107,51.0644243919881,80.64823588173722,37.42177278735975,51.6619492045592,12.401309404922966,3.3841309174966008,64.10425057184466,3.5790724511642096,42.8548890817737,43.392444270357984,43.635736370005134,3.1363045490200303,4.689294537558762,147.47800427613285,3.28501305101088,6.809711132486923,5.155363395101074,6.301524282381461,3.9220744202826245,4.2232689798340255,3.5929048982439076,53.76076151445917,6.370181552725806,39.84960801010893,4.8000971666862515
BE,5.4533928724259795,25686.865946218317,115.71557379669777,4.5001378069503195,4.769200990568424,62.78051876821852,231.68259785699288,93.09022774124159,125.88700840476514,175758.05844528385,4.273261635251185,213.8816874100517,7.734598429995637,54.06463580492559,98.88635773915814,81.98539260589983,4.6306166922791405,6.264300117423083,595.2220944656456,5.309077856888333,15.874471138896954,6.463371276656206,13.77956102441155,7.4285014064937664,13.42767654557919,4.682442633861885,87.89753895905831,7.841689818833971,78.84925806989897,6.7258966484709894
BG,3.889452203265924,4.472843272909783,4.7995989539913335,3.1567909605915956,3.862733971823042,51.73516936928122,99.95584334274028,45.010443260915935,54.95752726354852,33.11112739691683,3.490660105121139,86.57410155376525,3.6520658981101053,43.771936697924545,48.024459739231105,47.17831424225985,3.233542020667822,4.808320643821641,214.11683702707793,3.3211989490968516,7.657668206038011,5.261707092065254,6.766239215870366,4.18366252313742,4.457577410701527,3.6689944419757783,56.56881788038298,6.488552434700561,41.85657790725899,4.890472168764939
CH,5.207709854977461,130.9965404609232,27.422335000768705,4.4284893109674845,4.675659240030547,60.315800813684646,101.08136131994796,59.5849358135878,65.82344910624946,868667.5574032002,4.234363631961805,120.61591415300292,7.262875474264904,52.31275981405271,52.253178496763006,60.79703120607878,3.9765942221652932,5.785434364793698,283.5498295316788,5.148239408597393,10.164334761416704,6.140815741396642,7.723482183297878,5.876183881617338,11.200314825694218,4.331635274063116,71.20873219871363,7.379634395837038,46.243397292923845,6.002300392746804
CZ,4.997889967612438,28.36329793726556,9.579965590946811,3.8238855366303435,4.583282044240379,54.21256256767611,125.60101412336402,45.94769458432021,65.43304221740391,178679.8195734218,4.176236913333238,91.17843688301232,4.819292968530469,48.12004568665509,61.41080646645979,49.832201976154956,3.3659827437407532,5.060715612076754,235.90979799850177,4.190371199360635,8.870688557110842,5.471890516282118,8.204774437545483,4.774889941146932,5.6562051977269014,4.059198077653432,58.15416549761665,7.020426531353246,47.905713180226186,5.666511713484755
DE,5.415588282857145,1392528.2808590166,42375.04015505904,4.462296376073327,4.87891184075018,59.60721759416395,216.707595496253,59.65008628896211,102.10646040587521,3453092.0141385677,4.400869370868711,129.66847472556577,9.330902491546759,52.39426749168105,94.87925631986886,61.56910605069191,3.925555039958752,5.936198215022685,322.1544040831888,5.564879491951676,12.876759017541653,6.05517032778024,12.326174768433358,6.093044696646471,17.119211213843798,4.362258515113467,72.5083340845984,7.56211922704271,71.78821535188253,6.079516951903877
DK,14.58228794802703,297897.04307239014,71258.9897233762,12.01797832381597,12.517751034837875,162.42623063714342,940.168348613251,6110.570556933835,259.30875356055344,1830839.091056039,11.696111325502905,1785.668958440238,26.085851298875706,138.5815706818588,427.7075578678917,14436.462228009736,17.130783144024683,21.215971210968068,2899.2368499624754,13.023261457952508,36.82622255020547,19.211960100321072,41.17246829636492,25.247461179987994,82.66302352532935,13.730353687573727,539.6236649391709,23.39750461207864,186.39613996087058,17.575911813755265
EE,5.519235080771125,23436.45873555928,9.601344278356704,4.472643022677315,4.834736245499373,62.09782870707158,469.6382525414377,317.78671965813396,130.40435593628655,283356.792668342,4.512966689291705,2396.803428901772,6.296692082219979,53.45699356439996,179.07509334241223,141.84913885465627,5.687882137283097,8.432448754460262,4961.735469861024,5.082288765281691,15.26237835783465,7.301416346524288,18.56837324848086,8.77054356894916,7.295055487443099,4.887675801076951,111.07828524679894,9.068386396235061,98.28274400139148,6.741661743956164
ES,9.299711904441544,3646.9264246007106,1584.4255878267863,7.919927862707236,9.299078521284756,134.67481032982366,564.6018545380721,303.65646291577366,277.2175358495159,77022.47749468636,8.572329066591447,568.8557427219863,18.070591955212404,102.4825602250545,286.59697624518753,184.40970535200466,9.674361314851154,13.417904938820982,1160.1141242433573,7.545301221242124,25.466276023144346,13.530470162980349,34.89826925733641,11.896633007970824,1163.4022013260153,8.318118172392357,180.5378541995716,14.899266257076242,197.33148581141205,10.916771215736043
FI,4.996558585473943,16388.78581411776,4.162831477673653,3.9178759955060904,3.8449028151096334,58.20054747897706,44439.65717475792,140.99817148442654,215.1946758861532,252611.39075777755,3.498092825337623,517.7142097538971,4.948653115178083,49.53266692286168,45175.87534406283,111.03958923742753,4.5600993070226625,7.791770344518115,1107.2976269365101,4.734733115094451,19.866660446599195,6.9497385553042,10041.84603670949,8.365091646410049,4.790209318506644,4.463330731156544,94.13617746609016,8.758451135748496,431.3190819673494,6.259258373051571
FR,5.31929851364676,256533.36326015016,62.31962084713013,4.34468479075099,4.82203562335982,60.12798032272125,142.73458829016334,91.12154728631955,96.97012362695791,1773542.421611382,4.313709441011332,200.71580344434759,7.998987935880697,53.01162166223911,68.17102169928708,79.03080974647305,4.163190318207695,6.18034035767366,510.53168139176597,5.550306547133715,14.812722930579689,6.362401327231768,10.55847920071181,7.747016182061813,13.678981335213066,4.333551611396389,82.18785298171632,7.67772727026362,62.112358268926656,6.1058867675783475
GB,16.45494529124722,2512344.4253387125,847906.4597029301,12.309225804652435,13.119753666444293,160.10615426308766,348895.14643586054,45951.510520536176,7267.34127084799,7318333.684559981,12.51099836607716,460765.9570522191,4473.421838441991,137.78358779505453,305642.88560798217,8848.29636225902,256.6182840399308,1092.781818403382,578542.6188376729,20.645449337677622,1824.1700898425304,1566.4161759806295,80704.1770618803,42.37164914500032,241600.8260983933,13.678251983564586,6198.037499605782,21.719687811375685,18791.151105679804,17.994827054352797
GR,3.9392662009224484,5.975768814491852,9.15441824892153,3.111961082309479,3.9130549184137937,52.732498792774315,113.03619331582794,51.00591067243189,57.3579821057892,11208.424476949363,3.5494345139662844,91.4748107339947,4.163422850664022,44.55500413825092,54.782518988348855,52.74047297840265,3.6851579709644886,4.912675025588233,205.63966105287864,3.446753733779506,7.846295154415623,5.4375263203273105,7.542755309274922,4.401332215755481,6.379929483329858,3.8470155666700645,62.88128996330211,6.664874645628294,43.24599061744549,5.050920083383594
HR,3.835632259116066,4.090816292749733,4.520899710451281,3.1507769653642392,3.756379224664692,50.55866653036946,80.16973233556718,36.9348192197727,51.05921496242797,13.37758092094305,3.3779615088224126,62.722242347284315,3.5794154821892477,42.5936338732553,43.320185437553846,43.247496810652194,3.1073103935718605,4.646151038298575,144.5316472833014,3.2601661455444333,6.709646590783137,5.133336702248655,6.236570590181826,3.8649127960039005,4.268796540866808,3.5621207818717147,53.38853717355909,6.341700554954143,39.59727340931174,4.76203439378999
HU,4.095147169233756,5.404263271533635,4.508522921158951,3.214021259533275,3.9354323657953785,50.92563517300992,80.25423160834191,36.79128104867292,52.03748107722019,24.904860127710098,3.526835982328774,62.466768575839,3.6114277948384177,43.460736775621335,43.3206219433443,42.90886556528781,3.067105474837149,4.601868061395676,141.78851439690752,3.2853587099216446,6.9066348665470265,5.127305050366253,6.239888766144766,3.8847010610960733,4.286067173021481,3.5691995010408553,52.81997734952702,6.331648374017197,39.918643974498615,4.797434151845325
IE,7.321037819761718,92111.29983902822,13606.803330750248,5.059420114205956,6.033755099220649,69.71924909840291,144712.5866102823,24019.92383629329,22073.980098718865,387851.33726623177,5.767692792763232,32489.326894559414,21.88336597531655,61.312447785815706,116724.29941347335,9810.541147242668,29.762122491972434,167.70665766275744,43691.434206834674,7.958691033675338,5459.671033092261,75.03988420322369,47364.535998112726,29.498477575423898,49.847349037726396,5.731350856976939,911.2317117686674,10.077003805253263,36390.00243497012,8.04448417935118
IT,10.772427804869425,16112.05291109251,148.1007089830466,8.140144183410538,9.741379094754471,118.32065287040874,206.60811701600193,98.40763203565533,122.71515319288957,418958.6899542905,8.93163370532584,169.30109695128857,9.821456300335093,105.91843909329707,105.3966839791855,108.94270176110453,7.151703444782138,9.978409463570765,390.1079564281491,8.244054822455329,17.53624016738972,11.26661506670952,15.2233240573959,9.79830736017799,22.13481890913183,8.011729353219902,126.61126315329258,14.861425919661416,90.43253783388504,11.045383637666081
LT,5.0214388917584705,29.229880219638556,8.051586258002855,4.148559559014451,4.667158130995567,58.07820489942819,260.6971560944986,116.91912515429594,97.62047384577437,85.48051431140397,4.260840862757031,290.2029387668993,5.80671236493604,50.39844392428386,110.66285580297043,89.17842662198261,4.747306102379546,7.545826153727388,879.0558768370095,4.5845173387797935,11.761066661093272,6.7266201181539325,13.513477255845151,7.097068909974066,6.448358527211754,4.529186282616428,87.31223626085405,8.400931798601945,74.00739288663037,6.23625066733819
LU,5.102629217068688,126870.7025128305,70291.74456594305,4.155875678444691,4.597645871003712,57.11222132390113,300.02254981290133,80.65141179809366,120.70628011298712,221108.77635426662,4.106205591951176,289.08990435598355,10.704820913933732,51.39411326432523,124.25605295664222,71.74355278056008,4.067376598321713,5.9078291600650035,941.3770315411853,5.016941410243433,15.992914263499053,6.018084961744483,13.778546874379916,6.961491515898372,17180.81694864345,4.334252592576233,75.7925730176846,7.287494756437061,78.07919089752328,5.748305898318665
LV,5.0829942443802825,29.94272923527742,8.200497588397962,4.205983954099651,4.689316063784318,58.19304080413099,321.34315999400167,118.2149758695619,105.77455907276291,85.70391534093247,4.3105048272838395,307.9210857747143,5.8383035036482,50.45248663460712,133.9495761710415,89.54046790827516,4.762093537706557,7.604237628137165,942.4310826215236,4.5643496800720795,12.15281469109261,6.745657701898883,15.298238779026686,7.170455533060464,6.543312726786285,4.536273069085147,87.61423573480339,8.438229930975723,85.47806174303443,6.266723296845321
ME,3.8298321297681985,4.692044052659078,4.92582197856795,3.165345586616845,3.7584164154755513,51.40813388384675,84.87440257042407,39.300025527586314,53.777745615602655,13.000530020571336,3.324738983833262,71.41101791450804,3.6114029809105594,43.325087168866204,45.01597358992472,44.86220022207917,3.191378724501012,4.6906737817137545,167.03918227510152,3.2564985308982033,7.1620020566292,5.1606208393713935,6.438641433174709,4.046186566551397,4.390138489272323,3.6407041735587287,54.9251937719508,6.40607848543984,40.18831359443256,4.856147828045404
MK,3.86556037791749,4.49042174728674,4.946161001295183,3.2037926294691066,3.7947724754878305,51.9640244511902,103.83579745236462,44.97651352954747,53.782060750853084,31.981439643375158,3.4122359100998194,82.59283160314678,3.6474437227227328,43.92171775590601,50.304804070188084,47.93973916673188,3.3017512794718287,4.806352558381058,198.3359818963621,3.3240596019840556,7.250485256091315,5.255500843685562,6.829432474573611,4.106773447759075,4.410854488359862,3.703324422988208,57.022975443524196,6.509434091334439,41.092205730276895,4.93393014608995
NL,6.2771387950261985,680099.7095789748,133026.12691459045,5.272317146135522,5.537549745830774,69.83262482850941,2628.390034797327,226.35163618634385,365.00611990011924,2933243.5883617387,4.99108536542729,1490.4975578531455,10.805621468429624,60.36274583812304,668.6372475112935,152.01043954513716,6.270750426864891,7.88425316451337,6317.979274921375,5.993089085722469,41.63074529140647,7.772604442285133,57.9226475630798,13.689664191011614,21.400065102191892,5.453211196118229,143.94853551042291,9.668202870135348,226.60682025930265,7.539729171500773
NO,3.5882551458408156,2.74335023854919,3.4362750066616305,3.023955341574646,3.409206495726454,50.50289895664961,72.47429779206563,34.951503320778976,48.35492986965894,3.636980087567146,3.0591999268590273,56.30200182690882,3.4489921623523037,42.87357583719587,40.619332266410815,41.56128951978793,2.9959211534788066,4.590147635304237,125.70358955975955,3.2271592129237545,6.56259069097291,5.089800834043532,5.9331890674207175,3.707257537978072,3.8396992858161116,3.5040775656930854,51.48647515580346,6.373486204379587,38.114364495598316,4.753079701901142
PL,5.1392497442023455,368220.9117429162,716.9509635765279,4.237024596038479,4.792652939261812,57.71339166649868,838.4609735793142,206.52123930940084,151.12042562223584,1710187.5844785776,4.283259029004284,732.8971239928665,6.360304775628299,50.10942794658118,312.70970807616743,114.1348245377694,5.27580581534416,8.218949012783346,3407.08546862629,4.764349649872562,17.15029135677269,6.842508112598695,23.298712322467004,8.904682389751192,9.525994045644612,4.601425168293833,100.03606640621355,8.23415690565885,119.1555019400848,6.243017577949667
PT,4.196467084200986,28.632078713382295,18.955245021719414,3.439758929976959,4.268762858924001,60.7329377876799,146.5454014963298,86.10236026990566,116.8339136561315,44627.26676382538,3.8765488702419306,164.7316341402945,5.687486083450365,54.121823695904716,78.18898453508568,73.80196571594769,4.018136647023564,5.5396395269040815,362.64254946256574,3.608416580654894,12.050382309651246,5.909631043541511,13.809752629142489,5.831199420440624,11.035298515399237,4.0873823180121684,74.80720955994956,6.838690334603923,78.89630152909403,5.324932986922753
RO,3.913218625950566,4.621819454311806,5.114885083852178,3.181724909653523,3.8992720999583534,51.31807184893984,92.98117416112024,40.30710918522919,53.613412086760036,4397.8723952064765,3.5078516990755033,74.91328649005371,3.675947068906992,43.6939601791201,46.06986056017897,45.27977907190785,3.2039470244029458,4.7581316276339995,178.69991843983473,3.3342328356888578,7.176325405707975,5.198995125875671,6.515952891877292,3.932818084093775,4.556434854221183,3.6302554563941323,55.37443727530893,6.415082451185041,40.97157877593255,4.817249344678901
RS,3.8636932674099884,4.077369753740852,4.488153264990568,3.168091581199673,3.8059655764818943,51.373353288922544,86.69412085345871,42.49029847336916,53.70151298641286,15.290314028703333,3.438708951120266,75.52481428930476,3.6091608286066057,43.61802700285527,45.44794205561541,45.47546995650597,3.192598364735553,4.68600432153596,176.5506987022608,3.284040416356176,7.0768691493418725,5.187988033993398,6.574224708154127,3.9974937817166216,4.324227909602088,3.641388720499468,55.17185340353924,6.396782566925112,41.09738713828009,4.837808747350039
SE,4.964942788710465,5.716280867406678,3.754285235685286,4.1294688436420905,3.8458949240316413,58.72307365566885,181.58125818044275,83.03072707223417,67.52135071816981,60.040596996790576,3.490365554122714,140.51569525418728,3.832490629016718,50.10090403465804,86.14048850404244,87.95371781236896,4.378700144184734,7.177428228404221,331.90556748265135,3.9138620167104055,9.559775296400572,6.6009920669684075,12.340424138804742,6.560233237473849,4.1182863000752725,4.5371374504785535,91.4465870027821,8.388633556992604,60.503653271213835,6.385548362165315
SI,3.79664236125837,5.327227581690764,5.643558250796212,3.1373317031815677,3.6095826631548142,50.47053416894126,81.89967716018955,37.81281262005928,50.91135078342271,29.21890859014912,3.1816561128783816,67.98468956042026,3.5958611975272294,42.38948083393159,43.68097188867773,44.02550143197189,3.1584481008204586,4.6648779914956044,162.28591710185609,3.259785191502548,6.734314153404695,5.1195831123982405,6.281705326154813,3.916266587955047,4.4579492516027415,3.5837298533651527,54.346257375956164,6.3474759600581665,39.43343147510055,4.781430974533324
SK,4.899742666207807,21.79593626507579,7.224558109220104,3.9029977255696138,4.510762285791538,53.193148660490735,136.62201518785247,39.50847213190599,58.333361451642276,189977.42838727476,4.129910867601851,76.8996564065277,4.282523222185935,45.407320554680766,63.72262781976816,44.408126440567514,3.134796703799192,4.663107274334995,187.72990459873733,3.86639790764639,7.303107212633626,5.186542710806036,7.832951916777022,3.9762028791373933,5.078444282376174,3.7459563360546166,53.81760523588711,6.697667991308351,45.42864371305133,5.183061487745474
