,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
weatheryear,2002.0,2010.0,2003.0,2006.0,2010.0,2003.0,2010.0,2003.0,2002.0,2003.0,2010.0,2008.0,2008.0,2008.0,2006.0,2010.0,2006.0,2006.0,2006.0,2008.0,2002.0,2008.0,2003.0,2002.0,2002.0,2010.0,2010.0,2003.0,2010.0,2003.0,2006.0,2003.0,2003.0,2006.0,2006.0,2008.0,2002.0,2010.0,2003.0,2008.0,2003.0,2002.0,2002.0,2002.0,2010.0,2008.0,2002.0,2006.0,2010.0,2008.0,2008.0,2002.0,2006.0,2002.0,2008.0,2008.0,2006.0,2010.0,2002.0,2003.0,2010.0,2008.0,2008.0,2003.0,2002.0,2008.0,2003.0,2006.0,2006.0,2006.0,2010.0,2002.0,2006.0,2003.0,2010.0
c_hat [EUR/kWh],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
co2_cap [%],5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
eta1 [-],0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eta2 [-],0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
tau [n_days],10.0,45.0,18.0,30.0,10.0,10.0,10.0,30.0,57.0,57.0,30.0,57.0,10.0,30.0,57.0,45.0,57.0,30.0,18.0,57.0,30.0,30.0,45.0,18.0,45.0,57.0,30.0,57.0,45.0,57.0,57.0,10.0,30.0,10.0,45.0,30.0,57.0,10.0,18.0,18.0,30.0,18.0,45.0,45.0,57.0,10.0,57.0,18.0,30.0,45.0,57.0,30.0,10.0,10.0,45.0,18.0,45.0,18.0,18.0,45.0,18.0,45.0,10.0,18.0,30.0,18.0,10.0,10.0,18.0,30.0,18.0,10.0,45.0,45.0,57.0
c1,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
c2,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
transmission,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nnodes,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],117.192,113.366,117.362,263.636,115.803,117.769,383.189,116.511,117.09,254.161,383.085,344.778,246.917,111.156,263.634,267.168,122.602,123.303,366.873,245.592,117.15,246.082,116.244,358.818,358.775,382.687,267.147,116.065,382.994,371.738,366.724,254.382,254.343,263.812,122.961,345.413,247.79,267.15,371.899,112.074,371.873,247.998,117.114,247.807,113.283,345.608,358.765,123.908,113.53,245.688,110.257,358.803,124.308,358.854,110.541,246.486,263.647,114.334,117.192,254.278,383.199,345.09,113.252,254.377,247.971,345.664,371.992,366.854,263.738,366.853,267.142,248.096,366.795,371.852,267.142
c_sys [bEUR],136.833,141.992,139.344,358.057,142.059,139.346,687.346,139.332,136.833,358.854,687.328,645.928,349.788,131.834,358.026,369.273,138.053,138.067,665.271,349.699,136.833,349.75,139.317,659.291,659.274,687.302,369.281,139.31,687.314,668.51,665.262,358.862,358.859,358.049,138.058,646.034,354.811,369.284,668.626,131.853,668.592,354.829,136.833,354.823,141.982,646.097,659.289,138.075,142.012,349.725,131.808,659.275,138.077,659.296,131.818,349.761,358.043,142.039,136.833,358.862,687.34,645.971,131.862,358.867,354.828,646.075,668.66,665.288,358.06,665.271,369.277,354.839,665.267,668.542,369.28
X Discharge,0.0,1.336,0.207,0.214,0.26,0.001,0.005,0.652,0.036,0.458,0.177,1.724,0.119,1.092,0.716,0.004,0.909,0.577,0.002,1.45,0.014,0.792,0.888,0.023,0.11,0.467,0.006,1.022,0.346,1.209,0.385,0.002,0.063,0.013,0.766,0.864,0.425,0.003,0.38,0.63,0.665,0.134,0.027,0.38,1.377,0.181,0.202,0.213,1.264,1.276,1.5,0.041,0.012,0.008,1.398,0.431,0.539,0.877,0.001,0.276,0.033,1.307,0.001,0.008,0.197,0.414,0.022,0.003,0.072,0.043,0.003,0.088,0.164,1.007,0.011
load_coverage [%],0.0,0.145,0.023,0.013,0.028,0.0,0.0,0.071,0.004,0.029,0.006,0.057,0.007,0.119,0.045,0.0,0.099,0.063,0.0,0.091,0.002,0.05,0.097,0.001,0.004,0.015,0.0,0.111,0.011,0.04,0.013,0.0,0.004,0.001,0.083,0.028,0.027,0.0,0.013,0.068,0.022,0.008,0.003,0.024,0.15,0.006,0.007,0.023,0.137,0.08,0.163,0.001,0.001,0.0,0.152,0.027,0.034,0.095,0.0,0.018,0.001,0.043,0.0,0.0,0.012,0.014,0.001,0.0,0.005,0.001,0.0,0.006,0.005,0.034,0.001
battery_load_coverage [%],3.102,1.765,3.062,3.201,1.915,3.067,3.251,3.023,3.089,2.71,3.243,3.625,2.366,1.967,3.179,1.957,3.279,3.324,4.516,2.315,3.097,2.341,2.992,3.92,3.901,3.225,1.964,2.986,3.227,4.547,4.506,2.723,2.719,3.184,3.295,3.653,2.777,1.964,4.6,1.994,4.593,2.79,3.091,2.776,1.755,3.651,3.913,3.38,1.777,2.331,1.934,3.903,3.398,3.923,1.937,2.337,3.191,1.846,3.1,2.713,3.252,3.639,2.029,2.723,2.784,3.661,4.626,4.541,3.202,4.515,1.965,2.793,4.511,4.561,1.964
G_discharge [GW],0.002,10.643,0.961,1.988,1.696,0.005,0.084,2.911,0.145,3.643,5.697,30.732,3.897,2.889,5.424,0.02,5.109,2.911,0.125,13.935,0.068,11.023,3.816,0.807,3.359,11.521,0.03,4.319,9.457,26.48,5.793,0.037,0.783,0.3,4.232,21.355,8.934,0.022,11.421,1.618,17.786,6.277,0.115,8.618,10.998,10.006,4.848,0.92,9.985,12.849,4.094,1.717,0.051,0.292,3.807,8.032,4.284,6.312,0.004,2.332,1.459,26.429,0.002,0.121,7.406,15.559,0.92,0.079,0.898,0.684,0.019,4.727,2.451,22.929,0.053
E [GWh],0.183,394.601,51.985,118.211,63.843,0.269,4.418,213.435,10.564,250.181,99.935,1049.891,50.825,259.332,405.927,2.434,405.507,234.631,1.318,550.288,3.668,281.319,301.365,15.745,58.514,240.388,3.588,343.929,182.162,805.474,266.567,1.847,31.044,5.414,337.43,497.435,162.784,2.365,321.366,142.719,511.147,50.431,7.54,145.43,405.491,128.919,106.436,75.285,375.583,475.363,367.634,24.08,4.286,5.443,342.502,155.929,305.935,232.875,0.249,142.246,24.727,767.747,0.23,4.611,76.89,261.833,16.036,2.536,33.634,24.384,2.307,31.039,94.853,685.025,6.274
G_charge [GW],0.004,7.893,1.154,1.555,1.649,0.006,0.071,3.496,0.198,3.202,1.568,14.158,0.919,5.145,4.7,0.037,4.749,3.144,0.019,8.973,0.076,5.202,4.65,0.219,0.804,4.034,0.053,5.273,3.022,10.195,2.904,0.027,0.48,0.108,4.001,7.545,2.509,0.035,3.673,3.137,5.622,0.897,0.146,2.288,8.028,1.925,1.433,1.195,7.669,8.086,6.87,0.335,0.066,0.085,6.471,3.066,3.646,5.428,0.005,1.99,0.328,10.844,0.005,0.071,1.236,3.983,0.232,0.035,0.564,0.336,0.033,0.628,1.274,8.52,0.09
G_battery [GW],45.842,26.066,44.855,113.429,28.276,45.022,187.62,44.249,45.671,94.72,185.135,193.114,84.891,28.263,113.266,67.74,48.772,49.41,252.516,80.986,45.766,81.837,43.761,225.683,223.917,182.217,67.772,43.694,182.778,238.063,250.404,95.09,94.884,113.87,48.971,194.979,109.601,67.769,240.97,28.652,239.862,111.06,45.708,109.727,25.985,197.17,222.915,50.246,26.239,81.289,27.785,225.031,50.475,225.924,27.817,82.66,113.274,27.268,45.842,94.802,186.858,193.846,29.118,95.071,110.2,196.401,241.758,252.572,113.62,252.161,67.78,111.716,251.447,238.583,67.768
E_battery [GWh],260.088,144.861,253.101,659.625,157.897,253.871,1074.885,249.62,259.055,573.724,1067.186,1137.703,498.91,162.106,658.697,416.749,274.143,278.097,1455.617,486.207,259.64,489.243,246.737,1259.74,1254.578,1056.816,416.817,246.103,1058.953,1440.369,1447.892,576.777,575.936,661.075,275.645,1145.201,597.954,416.812,1462.078,164.505,1454.148,602.491,259.298,598.161,144.083,1155.515,1251.307,283.117,145.753,487.207,159.219,1257.904,284.606,1260.575,159.589,491.848,658.77,151.745,260.094,574.681,1072.678,1141.303,167.566,576.645,599.742,1151.502,1465.965,1455.624,660.212,1454.44,416.881,604.235,1451.987,1444.837,416.797
G_homebattery [GW],73.179,76.6,80.536,17.667,77.553,80.943,14.495,80.045,73.181,17.703,14.4,12.367,14.467,71.526,17.602,14.597,73.652,73.798,16.87,14.38,73.18,14.502,79.906,14.779,14.554,14.277,14.68,79.76,14.321,14.257,16.928,17.692,17.672,17.497,73.735,12.61,19.62,14.683,14.293,71.864,14.331,19.699,73.175,19.641,76.531,12.376,14.795,73.942,76.846,14.53,71.583,14.537,74.055,14.763,71.571,14.366,17.619,77.216,73.178,17.699,14.469,12.488,71.981,17.697,19.691,12.565,14.311,16.964,17.667,16.859,14.68,19.739,16.889,14.267,14.688
E_homebattery [GWh],421.119,445.834,477.457,85.326,455.574,479.582,78.287,475.255,420.983,87.753,77.859,57.076,63.439,381.654,85.049,74.938,427.537,429.272,93.178,63.447,421.072,63.741,474.819,75.823,75.123,77.308,75.238,474.288,77.676,75.826,93.527,87.709,87.623,84.787,428.585,57.755,88.608,75.237,76.046,383.73,76.231,88.744,420.996,88.813,445.913,56.997,75.887,430.248,448.133,63.857,381.978,75.07,430.864,75.77,381.718,63.07,85.145,451.861,421.089,87.734,78.182,57.401,384.542,87.721,88.77,57.614,76.229,93.477,85.418,93.144,75.229,89.309,93.264,75.914,75.276
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
E_PHS [GWh],1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69,1407.69
G_electrolysis [GW],0.0,0.001,0.0,84.726,0.0,0.0,793.481,0.0,0.0,75.259,793.154,771.81,77.363,0.0,83.909,83.99,0.0,0.0,859.268,76.035,0.0,76.732,0.0,797.237,797.427,792.235,83.93,0.001,792.456,818.405,858.031,75.685,75.595,84.952,0.0,775.941,70.452,83.934,822.284,0.0,820.919,70.662,0.0,70.495,0.0,779.201,796.931,0.0,0.0,76.144,0.0,797.389,0.0,797.474,0.0,76.909,84.162,0.0,0.0,75.526,793.45,773.797,0.0,75.681,70.67,778.646,823.861,859.159,84.878,859.225,83.937,70.681,858.902,819.037,83.917
E_H2 [GWh],0.085,0.086,0.085,954.706,0.065,0.074,5876.662,0.083,0.08,762.269,5875.722,7584.559,943.064,0.074,920.514,1048.932,0.069,0.081,8153.853,850.638,0.077,893.909,0.066,5786.121,5786.177,5846.966,1046.928,0.087,5855.958,6523.612,8121.66,767.494,766.063,968.33,0.078,7634.78,719.383,1047.065,6550.809,0.068,6541.009,724.195,0.073,719.243,0.071,7696.496,5784.793,0.075,0.074,862.125,0.066,5784.742,0.067,5789.162,0.079,908.887,925.316,0.072,0.068,764.352,5877.905,7647.193,0.063,767.365,725.148,7677.5,6521.59,8154.547,962.739,8147.89,1047.305,723.579,8130.98,6521.376,1046.742
avail_onwind [MWh],136996864.27,152683712.837,163279301.3,333847904.467,150339442.428,163464049.242,840506837.693,163315306.131,137033355.573,340556722.928,840845812.12,980038913.926,407321645.62,160808933.092,334674054.477,385522957.592,134307770.302,133596142.985,844585861.456,411018130.217,136969804.047,409268596.847,163425029.252,949885634.942,949011229.625,841049531.391,385487963.712,163441691.469,841097539.712,853001365.244,844465219.887,340184345.267,340301289.438,333367631.878,133986758.662,979864966.813,392874532.768,385493202.445,852560368.713,159769001.152,852769955.44,392399363.352,136995949.697,392784994.749,152715705.213,979485732.282,949403269.44,132923430.727,152435597.106,410709739.301,161097106.699,949239094.258,132566258.324,950041091.514,161035214.648,408447031.747,334484344.661,151322928.035,137010080.797,340434249.356,840521397.494,979819229.291,159222230.98,340182498.263,392380641.65,979947876.599,852557504.084,844204129.915,333495291.195,844714857.151,385490130.817,392043016.633,844417509.46,852917171.999,385495532.653
avail_offwind [MWh],291682896.779,284242555.103,237599885.912,366939687.226,284217854.786,237287430.411,646852793.268,237710349.794,291831956.37,349085442.65,646843695.607,558718048.007,385648869.908,299674104.631,366861844.221,379031381.258,275556733.463,275787194.12,519966432.634,384983544.089,291774021.884,385391857.812,237709421.933,525658296.901,526078658.897,647228790.07,379033010.347,237716217.529,647050858.252,456662226.803,520697957.91,349188106.055,349180107.281,367003381.531,275681540.913,560119189.702,373879979.534,379034404.211,455356682.341,299772165.447,455415400.567,373976317.878,291811896.489,373943539.758,284145138.716,561180911.557,526172738.119,275826374.926,284392971.749,385104870.345,299658178.091,526024538.451,275991528.332,525557397.783,299660538.06,385634201.576,366911772.22,284318436.773,291673018.987,349149325.634,646782461.525,559409829.351,299833836.883,349198076.667,374044558.224,560309872.385,455285832.226,520422969.451,366953512.462,519972929.867,379029328.318,373938536.208,520273677.78,456027995.989,379041059.052
avail_solar [MWh],309015981.873,292814311.624,343766720.653,612864764.905,294920624.495,343893824.345,962924937.33,343459341.458,308805773.828,612699489.858,962946508.855,931259921.158,518350898.851,276267535.772,612336552.963,527138844.962,331594499.242,331942176.876,1125870948.411,517345598.938,308940680.316,518048631.295,343219476.089,1017766092.144,1017960359.399,963244671.973,527137748.42,343057172.627,962976683.231,1157717244.033,1125871847.58,613091385.976,613056763.268,613093265.159,331707685.022,929813385.418,547926976.38,527144880.673,1158244275.667,277026866.414,1158308320.311,548136113.931,308870998.632,547939549.447,292848050.674,928499230.847,1017724905.548,332618620.374,292868548.492,517488652.842,275884021.85,1017851499.273,332865033.178,1017716086.232,275946482.167,518210381.651,612518339.859,293849494.699,309017334.683,612818129.217,962894401.179,930466686.785,277673137.627,613097422.522,548116908.491,929284567.372,1158006004.039,1125774634.122,613068826.687,1125835162.97,527141387.148,548252378.884,1126087582.272,1158188088.564,527143718.195
used_onwind [MWh],115432645.426,137076929.128,135966196.972,312757333.539,132277453.218,135377526.158,802162496.468,137706193.199,115513719.169,318836537.106,802823496.056,958001972.841,388137957.819,141980412.18,314600314.905,359902502.701,117609152.057,116268158.233,816366270.08,393692617.996,115452442.581,390900184.561,138587870.031,912773290.176,913848684.778,803079274.693,359903972.208,138938134.264,803040530.817,816879809.833,816660700.955,317276617.048,317477707.015,311873331.268,117032113.808,956637582.065,368493441.575,359929811.422,816399304.654,139862110.022,816654898.285,367386486.926,115437555.535,368337349.549,137313389.165,957971073.287,912639401.965,114478011.197,136892308.464,392973535.645,143350564.929,913693267.185,113551926.789,912940652.826,143066014.352,389880254.652,313925592.06,135090498.81,115410804.041,318083577.983,802571749.508,957090130.782,137013740.249,317184579.645,367573814.293,956718063.013,815824894.395,815364288.524,312149468.183,816512829.863,360036532.655,367081369.473,816228759.667,816852339.365,360024776.531
used_offwind [MWh],277378419.453,273582417.028,223651105.304,357363211.196,272972626.151,223301168.488,630829106.667,223785456.473,277589002.106,340508086.961,630941831.102,541998949.426,377305860.552,287152746.408,355524293.324,368143431.757,259147018.217,259179590.554,504441781.453,376175090.459,277465881.832,378009558.513,223839343.027,508587250.341,506110894.625,630157623.615,368967162.922,223929800.684,630140155.922,440935151.481,504943484.898,340523090.339,340548527.08,355564421.28,259196113.238,545710845.681,364605094.222,368900946.165,439721381.933,287092510.099,440584247.384,364744305.203,277559664.343,364215923.149,273402837.282,541882638.771,509246883.946,259113790.759,273669402.567,377861979.549,287286572.045,506225927.109,259102813.319,508612963.386,287252295.724,376002325.001,356766854.981,273352179.73,277388292.616,340388475.546,630821653.843,543930878.037,286910591.165,340467114.043,364637498.714,545027989.786,440694380.876,507226788.366,357333552.742,504453361.707,369136070.851,364354428.584,504787540.761,440438619.091,368991311.222
